id,name,country,lat,long,usedstart,usedend
819,Alicante,ESP,38.3372,-0.488,5155,1002
821,Piraeus,GRC,37.9408,23.643,5176,427
828,Tartous,SYR,34.9,35.8667,5247,2742
830,Rotterdam,NLD,51.9,4.4833,5280,41
835,Nordenham,DEU,53.4833,8.4833,5424,1212
836,Prescott,CAN,44.7089,-75.517,5439,2396
837,Nakanoseki,JPN,34,131.5667,5454,6965
841,Tsu,JPN,34.6698,136.5411,5467,3413
843,Amsterdam,NLD,52.3955,4.8753,5472,42
846,Trombetas,BRA,-1.4667,-56.3833,5533,286
854,Baltimore,USA,39.282,-76.6142,5561,1761
856,Freeport(BHS),BHS,26.5189,-78.7689,5647,1831
860,Mangalore,IND,12.8333,74.8167,5708,43328
861,Chaguaramas,TTO,10.6814,-61.6447,5709,4293
863,March Point,USA,48.5,-122.5667,5721,6565
870,Par,GBR,50.35,-4.7,5723,32518
872,Tembladora,TTO,10.685,-61.5969,5724,37247
879,Suralaya,IDN,-5.8833,106.0167,5727,3786
881,Toamasina,MDG,-18.15,49.4167,5746,955
885,Santan Terminal,IDN,-0.1167,117.5333,5768,33393
886,Matarani,PER,-16.9833,-72.1167,5769,287
888,Ishigaki,JPN,24.3333,124.1667,5791,22430
889,Fos,FRA,43.435,4.9081,5792,856
893,Wallaroo,AUS,-33.9295,137.6248,5830,1355
900,Sungei Pakning,IDN,1.3667,102.1833,5845,7174
903,Port Sultan Qaboos,OMN,23.6333,58.5667,5853,428
908,El Palito,VEN,10.4833,-68.1167,5882,3257
909,Gulfport,USA,30.35,-89.0833,5887,4817
910,Lake Huron,,44.8078,-82.4639,5896,4004
913,Esperance,AUS,-33.8736,121.8919,5911,429
915,Bar,MTG,42.0847,19.0877,5961,4295
923,Eregli(Sea of Marmara),TUR,40.9667,27.9667,5974,4296
924,Seychelles,SYC,,,5982,887
925,Saganoseki,JPN,33.2497,131.8631,5996,1357
932,Tau,NOR,59.0667,5.9333,6029,5298
933,Mormugao,IND,15.4167,73.8,6034,609
941,Algeciras,ESP,36.1261,-5.4366,6091,43
943,Helsingborg,SWE,56.0464,12.69,6304,1273
944,Vladivostok,RUS,43.0983,131.8922,6323,4106
947,Aardalstangen,NOR,61.2333,7.7,6388,2481
950,Sandakan,MYS,5.8119,118.0784,6392,235
