id,flag,type,size,age,owner,operator
752980,HKG,Bulk,Handymax,<5,Chellaram Shipping (Hong Kong) Limited,Chellaram Shipping (Hong Kong) Limited
752982,LBR,Bulk,Handymax,<5,Ikaros Shipping and Brokerage Company Limited,Ikaros Shipping and Brokerage Company Limited
752984,PAN,Bulk,Handymax,<5,KT Marine Company Limited,KT Marine Company Limited
753344,SGP,Bulk,Panamax,<5,Mitsubishi Group of Companies,Diamond Bulk Carriers Private Limited
753733,SGP,Bulk,Handymax,<5,Kristian Gerhard Jebsen Skipsrederi AS,Kristian Gerhard Jebsen Skipsrederi AS
753735,LBR,Bulk,Handymax,<5,Orange Ocean GmbH & Company KG,United Seven GmbH & Company KG
754011,MHL,Bulk,Capesize,<5,Eregli Denizcilik A.S.,Eregli Denizcilik A.S.
754489,CHN,Bulk,Handymax,<5,China Shipping (Group) Company,China Shipping Haisheng Company Limited
754503,CHN,Bulk,Handymax,<5,China Shipping (Group) Company,China Shipping Haisheng Company Limited
754505,MLT,Bulk,Capesize,<5,The Angelicoussis Group,Anangel Shipping Enterprises S.A.
754508,GRC,Bulk,Capesize,<5,The Angelicoussis Group,Anangel Maritime Services Incorporated
754510,GRC,Bulk,Capesize,<5,The Angelicoussis Group,Anangel Shipping Enterprises S.A.
754511,GRC,Bulk,Capesize,<5,The Angelicoussis Group,Anangel Shipping Enterprises S.A.
754697,PAN,Container,Unspecified,5-10,Daio Kaiun Company Limited,Misuga Kaiun Company Limited
754880,LBR,Bulk,Handymax,<5,Stafilopatis Family,Byzantine Maritime Corporation
754883,PAN,Bulk,Handymax,<5,Mitsubishi Group of Companies,Mitsubishi Corporation
754886,PAN,Bulk,Capesize,<5,Kyowa Kisen K.K.,Kyowa Kisen K.K.
754889,MHL,Bulk,Handymax,<5,Unknown,Unknown
754892,MHL,Bulk,Handymax,<5,Unknown,Unknown
754926,BHS,Bulk,Handymax,<5,Seanergy Maritime Holdings,Seanergy Maritime Holdings
754942,HKG,Bulk,Panamax,<5,Centrans Ocean Shipping Logistics Group,Unicus Ship Management Limited
754946,HKG,Bulk,Panamax,<5,Centrans Ocean Shipping Logistics Group,Unicus Ship Management Limited
755085,MLT,Bulk,Handymax,<5,Marinsa Denizcilik A.S.,Marinsa Denizcilik A.S.
755087,MLT,Bulk,Handymax,<5,Marinsa Denizcilik A.S.,Marinsa Denizcilik A.S.
755088,MLT,Bulk,Handymax,<5,Marinsa Denizcilik A.S.,Marinsa Denizcilik A.S.
755288,MHL,Bulk,Capesize,<5,Oskar Wehr KG (GmbH & Company),Oskar Wehr KG (GmbH & Company)
755291,CYP,Bulk,Capesize,<5,Interorient Navigation Company Limited,Interorient Marine Services Limited
755293,VNM,Bulk,Handy,<5,Vietnam National Shipping Lines (VINALINES),International Shipping & Labour Cooperation Joint Stock Company Limited (INLACO Saigon)
755310,HKG,Bulk,Panamax,<5,Golden Ocean Group Limited,Golden Ocean Group Limited
755311,HKG,Bulk,Panamax,<5,Golden Ocean Group Limited,Golden Ocean Group Limited
755527,CYM,Bulk,Handy,<5,Premuda S.p.A.,Premuda S.p.A.
755530,CYM,Bulk,Handy,<5,Premuda S.p.A.,Premuda S.p.A.
755532,CYM,Bulk,Handy,<5,Premuda S.p.A.,Premuda S.p.A.
755533,CYM,Bulk,Handy,<5,Premuda S.p.A.,Premuda S.p.A.
755542,MHL,Bulk,Handy,<5,Apex Marine Shipmanagement Company LLC,Apex Marine Shipmanagement Company LLC
755544,MHL,Bulk,Handy,<5,Apex Marine Shipmanagement Company LLC,Apex Marine Shipmanagement Company LLC
755557,LBR,Bulk,Handy,<5,Genco Shipping & Trading Limited,Baltic Trading Limited
755567,LBR,Bulk,Handy,<5,Genco Shipping & Trading Limited,Baltic Trading Limited
755593,LBR,Bulk,Handy,<5,Genco Shipping & Trading Limited,Genco Ship Management LLC
755597,LBR,Bulk,Handy,<5,Genco Shipping & Trading Limited,Baltic Trading Limited
755601,LBR,Bulk,Handy,<5,Genco Shipping & Trading Limited,Genco Ship Management LLC
755741,GRC,Bulk,Capesize,<5,John Samonas & Sons Limited,John Samonas & Sons Limited
755743,GRC,Bulk,Capesize,<5,John Samonas & Sons Limited,John Samonas & Sons Limited
755744,GRC,Bulk,Capesize,<5,The Angelicoussis Group,Anangel Maritime Services Incorporated
755754,GRC,Bulk,Capesize,<5,The Angelicoussis Group,Anangel Shipping Enterprises S.A.
755798,PAN,Bulk,Handymax,<5,Pan Ocean Company Limited,Pan Ocean Company Limited
755931,PAN,Bulk,Handymax,<5,Pan Ocean Company Limited,Pan Ocean Company Limited
755933,MHL,Bulk,Capesize,<5,Pan Ocean Company Limited,Pan Ocean Company Limited
755942,BHS,Bulk,Handymax,<5,Saint Michael Shipping Company Limited,Saint Michael Shipping Company Limited
