VESSEL ID,VESSEL_NAME,VESSEL_TYPE,PLACE_NAME,COUNTRY_NAME,AREA_NAME,ARRIVAL_DATE,DEPARTURE_DATE
246212,MSC Erminia,fully cellular containership,Port Said,Arab Republic of Egypt,North African coast,5/21/11,5/21/11
246212,MSC Erminia,fully cellular containership,Piraeus,Greece,European Mediterranean coast,5/23/11,5/26/11
246212,MSC Erminia,fully cellular containership,Messina Strait,Italy,European Mediterranean coast,5/26/11,5/26/11
246212,MSC Erminia,fully cellular containership,Naples,Italy,European Mediterranean coast,5/27/11,5/28/11
246212,MSC Erminia,fully cellular containership,Barcelona,Spain,European Mediterranean coast,5/29/11,5/31/11
246212,MSC Erminia,fully cellular containership,Valencia,Spain,European Mediterranean coast,5/31/11,6/2/11
246212,MSC Erminia,fully cellular containership,Gibraltar,Gibraltar,European Mediterranean coast,6/3/11,6/3/11
246212,MSC Erminia,fully cellular containership,Salvador,Brazil,South America Atlantic coast,6/11/11,6/11/11
246212,MSC Erminia,fully cellular containership,Rio de Janeiro,Brazil,South America Atlantic coast,6/14/11,6/14/11
246212,MSC Erminia,fully cellular containership,Navegantes,Brazil,South America Atlantic coast,6/15/11,6/16/11
246212,MSC Erminia,fully cellular containership,Paranagua,Brazil,South America Atlantic coast,6/16/11,6/18/11
246212,MSC Erminia,fully cellular containership,Rio Grande(BRA),Brazil,South America Atlantic coast,6/20/11,6/20/11
246212,MSC Erminia,fully cellular containership,Santos,Brazil,South America Atlantic coast,6/22/11,6/23/11
246212,MSC Erminia,fully cellular containership,Pecem,Brazil,South America Atlantic coast,6/27/11,7/5/11
246212,MSC Erminia,fully cellular containership,Gibraltar,Gibraltar,European Mediterranean coast,7/5/11,7/5/11
246212,MSC Erminia,fully cellular containership,Valencia,Spain,European Mediterranean coast,7/6/11,7/9/11
246212,MSC Erminia,fully cellular containership,Gibraltar,Gibraltar,European Mediterranean coast,7/11/11,7/11/11
246212,MSC Erminia,fully cellular containership,Sines,Portugal,Spain / Portugal inc Atlantic Islands,7/12/11,7/13/11
246212,MSC Erminia,fully cellular containership,Montreal,Canada,N.E. Canada and Great Lakes,7/19/11,7/21/11
246212,MSC Erminia,fully cellular containership,Gibraltar,Gibraltar,European Mediterranean coast,7/28/11,7/28/11
246212,MSC Erminia,fully cellular containership,Valencia,Spain,European Mediterranean coast,7/29/11,8/1/11
246212,MSC Erminia,fully cellular containership,Gibraltar,Gibraltar,European Mediterranean coast,8/1/11,8/2/11
246212,MSC Erminia,fully cellular containership,Montreal,Canada,N.E. Canada and Great Lakes,8/9/11,8/12/11
246212,MSC Erminia,fully cellular containership,Gibraltar,Gibraltar,European Mediterranean coast,8/18/11,8/18/11
246212,MSC Erminia,fully cellular containership,Valencia,Spain,European Mediterranean coast,8/20/11,8/22/11
246212,MSC Erminia,fully cellular containership,Montreal,Canada,N.E. Canada and Great Lakes,8/31/11,9/1/11
